id,name,place,location,landmark,ratings,info,price,tag,accessibility,occupancy,description,reviews,lat,lng,tax
106,Woodside Retreat,Goa,Baga,| 7 minutes walk to Colva Beach,4.1,"['| 1 Bedroom | Sleeps 3 guests', 'Caretaker']","₹4,213 per night",null,Entire Apartment,| 2 Bedrooms | Sleeps 6 guests,CoupleFriendly,,44.4264,8.91519,
107,Radisson Resort Goa Baga,Goa,Baga,| 1.7 km drive to Baga Beach,4.1,"['Restaurant', 'Swimming Pool']","₹9,314 per night",null,null,null,"CoupleFriendlyBreakfastIncludedEnjoy15%offonF&B,SpaandLaundry",,15.56517,73.75517,
108,Mitra Hostel by the Pool,Goa,Anjuna,| 1.8 km drive to Baga Beach,4.2,"['Gym', 'Swimming Pool']","₹1,297 per night",null,Beds in a Hostel,| 2 Dorm Beds,,,44.4264,8.91519,
109,Grand Hyatt Goa,Goa,Bambolim Beach,| 8 minutes walk to Anjuna Beach,4.2,"['Indoor Games', '| 1 Bedroom | Sleeps 4 guests']","₹29,480 per night",null,null,null,BreakfastIncluded,,15.4515035,73.8513355,
110,Grandeur Stay,Goa,Panjim,| 5 minutes walk to Bambolim Beach,5,"['Caretaker', 'Restaurant']","₹2,767 per night",null,Room in an Apartment,| 1 Bedroom | Sleeps 3 guests,FreeCancellationBook@₹0availableBreakfastavailableatextracharges,,44.4264,8.91519,
111,The Grand Leoney Resort,Goa,Vagator,| 7 minutes walk to Miramar Beach,4.3,"['Swimming Pool', 'Jacuzzi']","₹5,712 per night",null,null,null,CoupleFriendly,,15.5992771,73.7398462,
112,Arize You Home,Goa,Bardez,| 8 minutes walk to Vagator Beach,4.5,"['Room in a Cottage', '| 1 Bedroom | Sleeps 4 guests']","₹2,207 per night",null,Room in an Apartment,| 1 Bedroom | Sleeps 3 guests,CoupleFriendly,,44.4264,8.91519,
113,Casa Almeida Guest House,Goa,Candolim,null,3.9,"['Shared Swimming Pool', 'Pool/ Beach towels']","₹1,830 per night",null,null,null,CoupleFriendlyFreeCancellationBook@₹0available,,44.4264,8.91519,
114,"Le Meridien Goa, Calangute",Goa,Calangute,| 3 minutes walk to Candolim Beach,4.3,"['Swimming Pool', 'Gym']","₹11,213 per night",null,null,null,"CoupleFriendlyFreeCancellationBreakfastIncludedBook@₹0available10%offatLatestRecipe,thein-houseall-daydiningrestaurant",,15.5439,73.7553,
115,Casa De Goa Boutique Resort,Goa,Calangute Baga Road,| 4-5 minutes walk from Calangute Beach,4.1,"['Room in a Cottage', '| 1 Bedroom | Sleeps 4 guests']","₹7,030 per night",null,null,null,CoupleFriendlyBreakfastIncluded,,44.4264,8.91519,
116,Bloom Hotel - Calangute,Goa,Calangute Baga Road,| 5 minutes walk to Calangute Beach,3.9,"['Caretaker', 'Housekeeping']","₹5,000 per night",null,null,null,"CoupleFriendlyFreeCancellationBook@₹0availableBreakfastavailableatextrachargesNearthebeach&McDonalds,largepool&bikerentals",,15.5439,73.7553,
117,"Reemz, Beach Heaven, Anjuna",Goa,Anjuna,| 8 minutes walk to Calangute Beach,3.8,"['Beds in a Hostel', '| 2 Dorm Beds']","₹10,925 per night",Like a 3 Star,Room in an Apartment,| 1 Bedroom | Sleeps 2 guests,"CoupleFriendlyBreakfastIncludedApartmentfeaturinganin-houserestaurant,pool&lawn",,15.58005,73.74487,
118,The Park Baga River Goa (Adults only Property),Goa,Baga,| 9 minutes walk to Anjuna Beach,4,"['Kitchenette', 'Pool/ Beach towels']","₹6,859 per night",null,null,null,CoupleFriendlyBreakfastIncluded,,15.40927,73.78869,
119,Mandala Hostel near Palolem Beach,Goa,Palolem,| 2.2 km drive to Baga Beach,4,"['Private Beach', 'Swimming Pool']","₹1,297 per night",null,Beds in a Hostel,| 2 Dorm Beds,FreeCancellationBook@₹0available,,,,
120,Crystal Goa Onyx,Goa,Palolem,| About a minute walk to Palolem Beach,4.1,"['Entire Apartment', '| 1 Bedroom | Sleeps 5 guests']","₹3,861 per night",null,Room in an Apartment,| 1 Bedroom | Sleeps 3 guests,"CoupleFriendlyChicstayentailingalawn,sit-outs&Palolembeachview",,44.4264,8.91519,
121,Pride Sun Village Resort & Spa,Goa,Baga,| 3 minutes walk to Palolem Beach,3.5,"['Reception', 'Housekeeping']","₹4,548 per night",null,null,null,CoupleFriendlyFreeCancellationBook@₹0availableBreakfastavailableatextracharges10%DiscountOnF&BServices,,15.571786,73.7588617,
122,1BHK Apartment with Private Balcony - Fortune Belleza,Goa,Candolim,| 2.3 km drive to Baga Beach,4.4,"['Room in a Cottage', '| 1 Bedroom | Sleeps 4 guests']","₹3,644 per night",Like a 3 Star,Entire Apartment,| 1 Bedroom | Sleeps 4 guests,CoupleFriendlyFeaturesprivatebalconieswithsit-outs,,44.4264,8.91519,
123,Traverse Luxe Hostel Palolem,Goa,Palolem,null,4.1,"['Caretaker', 'Housekeeping']",₹910 per night,null,Beds in a Hostel,| 2 Dorm Beds,CoupleFriendlyBeachsidecottagewithacaretaker&yogasessions,,15.01667,74.01667,
124,Caphina Coastal Comforts,Goa,Benaulim,| About a minute walk to Palolem Beach,4.8,"['Swimming Pool', 'Kids Play Area']","₹1,732 per night",null,Room in an Apartment,| 1 Bedroom | Sleeps 3 guests,CoupleFriendlyFreeCancellationBook@₹0available,,44.4264,8.91519,
125,"La Estoria, Goa - IHCL SeleQtions",Goa,Candolim,Ends  in  02h:  59m:  10s,3.9,"['Spa', 'Swimming Pool']","₹8,454 per night",null,null,null,CoupleFriendlyFreeCancellationBook@₹0availableBreakfastavailableatextracharges,,44.4264,8.91519,
126,Mountain Palm Patnem Beach,Goa,Palolem,| 8 minutes walk to Benaulim Beach,4.6,"['Swimming Pool', 'Spa']","₹2,528 per night",Like a 3 Star,Room in a Cottage,| 1 Bedroom | Sleeps 4 guests,CoupleFriendly,,44.4264,8.91519,
127,Santana Beach Resort,Goa,Candolim,Ends  in  02h:  59m:  10s,4.4,"['Gym', 'Indoor Games']","₹5,090 per night",null,null,null,CoupleFriendlyFreeCancellationBook@₹0availableBreakfastavailableatextracharges10%offonF&Bservices,,15.5060492,73.7700185,
128,Candolim Sands,Goa,Candolim,| 4-5 minutes walk from Candolim Beach,3.4,"['Swimming Pool', 'Gym']","₹1,821 per night",null,null,null,CoupleFriendlyFreeCancellationBreakfastavailableatextracharges,,44.4264,8.91519,
129,Sand Tent Beach House,Goa,Palolem,| 2.2 km drive to Palolem Beach,4.5,"['Entire Apartment', '| 1 Bedroom | Sleeps 4 guests']","₹4,006 per night",null,Room in a Cottage,| 1 Bedroom | Sleeps 3 guests,,,44.4264,8.91519,
130,"Okean De Goa : A luxury Getaway, Near Beach",Goa,Vagator,| 4-5 minutes walk from Candolim Beach,3.8,"['Caretaker', 'Free Wi-Fi']","₹3,240 per night",null,null,null,CoupleFriendlyBreakfastavailableatextracharges,,,,
131,Aqua Marina Beach Cottages | Pool & Cafe,Goa,Calangute,| 8 minutes walk to Candolim Beach,3.6,"['Swimming Pool', 'Restaurant']","₹3,740 per night",Like a 3 Star,Room in a Cottage,| 1 Bedroom | Sleeps 4 guests,"CoupleFriendlyFreeCancellationBook@₹0availableBreakfastavailableatextrachargesCottagewithacaretaker,kidsplayground&beachactivities",,-3.53333,14.83333,
132,Acron Candolim Regina,Goa,Candolim,| About a minute walk to Palolem Beach,3.8,"['Entire Apartment', '| 2 Bedrooms | Sleeps 6 guests']","₹6,124 per night",null,null,null,CoupleFriendlyBreakfastavailableatextracharges15%DiscountOnF&BServices,,44.4264,8.91519,
133,Caravela Beach Resort,Goa,Varca Beach,| 3.0 km drive to Vagator Beach,4.4,"['Housekeeping', 'Caretaker']","₹1,01,099 per night",null,null,null,CoupleFriendlyBreakfastIncluded,,15.2099428,73.9340228,
134,Kay's Riverview Resort,Goa,Baga,| 3-4 minutes walk from Candolim Beach,3.8,"['Gym', 'Swimming Pool']","₹2,366 per night",null,null,null,CoupleFriendlyFreeCancellationBook@₹0availableBreakfastavailableatextracharges100INRFixedDiscountOnAirportTransfer,,44.4264,8.91519,
135,Makarios Boutique-Poolside Rooms,Goa,Baga,| 4-5 minutes walk from Candolim Beach,4.2,"['Beds in a Hostel', '| 2 Dorm Beds']","₹2,952 per night",Like a 3 Star,Room in a Homestay,| 1 Bedroom | Sleeps 4 guests,"Greek-style,pet-friendlyhomestaywithasunterrace",,44.4264,8.91519,
136,Hotel Regent Laguna,Goa,Anjuna,| About a minute walk to Varca Beach,3.6,"['Swimming Pool', 'Lounge']","₹3,710 per night",null,null,null,CoupleFriendlyFreeCancellationBook@₹0availableBreakfastavailableatextracharges,,44.4264,8.91519,
137,Marcelo Place 3,Goa,Baga,| 1.7 km drive to Baga Beach,3.6,"['Jacuzzi', 'Spa']","₹2,804 per night",null,Room in a Homestay,| 1 Bedroom | Sleeps 3 guests,,,44.4264,8.91519,
138,Sulcar Holiday home,Goa,Calangute,| 4-5 minutes walk from Baga Beach,4.5,"['Room in an Apartment', '| 1 Bedroom | Sleeps 3 guests']","₹2,106 per night",null,Room in an Apartment,| 1 Bedroom | Sleeps 4 guests,"CoupleFriendlyFreeCancellationBook@₹0availableRoomsinanapartmentwithakitchen,caretaker,beachaccess&parking",,44.4264,8.91519,
139,Fairfield by Marriott Goa Anjuna,Goa,Anjuna,Ends  in  02h:  59m:  12s,4,"['Free Wi-Fi', 'Washing Machine']","₹7,025 per night",null,null,null,CoupleFriendlyFreeCancellationBreakfastavailableatextrachargesComplimentary2beersonarrival,,15.58005,73.74487,
140,"The Fern Kesarval Hotel & Spa Verna Plateau, Goa",Goa,Mormugao,| 4-5 minutes walk from Anjuna Beach,3.7,"['Swimming Pool', 'Restaurant']","₹4,042 per night",null,null,null,"CoupleFriendlyFreeCancellationBook@₹0availableBreakfastavailableatextrachargesComplimentaryRoomUpgrade,SubjecttoAvailability",,,,
141,Sai Residency Baga,Goa,Baga,| 3 minutes walk to Baga Beach,3.7,"['| 1 Bedroom | Sleeps 3 guests', 'Housekeeping']","₹1,575 per night",null,null,null,CoupleFriendlyBreakfastavailableatextracharges,,15.56517,73.75517,
142,Beachfront Resort,Goa,Calangute,| About a minute walk to Calangute Beach,3.4,"['Pool/ Beach towels', 'Swimming Pool']","₹2,421 per night",null,null,null,CoupleFriendlyBreakfastavailableatextracharges,,44.4264,8.91519,
143,Jeet Hostel and Rooms Palolem Goa,Goa,Palolem,| 2.6 km drive to Anjuna Beach,4.6,"['Kitchenette', 'Swimming Pool']","₹1,591 per night",null,Beds in a Hostel,| 2 Dorm Beds,CoupleFriendlyFreeCancellationBook@₹0available,,15.01667,74.01667,
144,BluO Amani Vagator - Boutique Hotel Goa,Goa,Vagator,null,3.8,"['Gym', 'Swimming Pool']","₹5,299 per night",null,null,null,CoupleFriendlyFreeCancellationBreakfastIncludedBook@₹0available,,15.40927,73.78869,
145,Golden Tulip Goa Vagator,Goa,Vagator,| 6 minutes walk to Baga Beach,4.8,"['Jacuzzi', 'Swimming Pool']","₹5,889 per night",null,null,null,CoupleFriendlyFreeCancellationBreakfastIncludedBook@₹0availableEnjoyHappyHourswith1+1offer,,15.59766,73.74496,
146,Village Susegat Beach Resort Goa,Goa,Morjim,| 2 minutes walk to Calangute Beach,3.5,"['Kids Play Area', 'Room in an Apartment']","₹2,952 per night",null,null,null,CoupleFriendlyBreakfastIncluded,,15.40927,73.78869,
147,Castle House Calangute,Goa,Calangute,| 3 minutes walk to Palolem Beach,4.2,"['| 1 Bedroom | Sleeps 2 guests', 'Swimming Pool']","₹4,141 per night",null,null,null,CoupleFriendlyBreakfastIncluded,,15.5434307,73.7627918,
148,City Pride Rooms & Dormitory Panjim,Goa,Panjim,| 2.1 km drive to Vagator Beach,4.3,"['Reception', 'Swimming Pool']",₹720 per night,null,Beds in a Hostel,| 2 Dorm Beds,,,53.408558,-2.9930142,
149,Regenta Inn Palacio De Goa,Goa,Panjim,| 9 minutes walk to Vagator Beach,3.9,"['Spa', 'Beds in a Hostel']","₹6,012 per night",null,null,null,CoupleFriendlyBreakfastIncluded10%offonFood&Beverages,,15.40927,73.78869,
150,Sort By Stays Anjuna,Goa,Anjuna,| About a minute walk to Morjim Beach,4.6,"['| 2 Dorm Beds', 'Kitchenette']","₹3,529 per night",Like a 3 Star,Beds in a Hostel,| 2 Dorm Beds,"CoupleFriendlyFreeCancellationBook@₹0availableTranquilhostelfeaturingalivingroom,indoorgames&abar",,15.58005,73.74487,
151,Red Thread Calangute,Goa,Calangute,| 4-5 minutes walk from Calangute Beach,4.3,"['Restaurant', 'Room in an Apartment']","₹4,800 per night",null,null,null,CoupleFriendlyBreakfastavailableatextracharges,,15.5439,73.7553,
152,The Sincro Hotel,Goa,Margao,| 6 minutes walk to Deltin Royale,4,"['| 1 Bedroom | Sleeps 3 guests', 'Reception']","₹1,543 per night",null,null,null,CoupleFriendlyBreakfastIncluded,,44.4264,8.91519,
153,ECO WOODEN HOMES,Goa,Benaulim,| 1.4 km drive to Deltin Royale,5,"['Housekeeping', 'Gym']","₹3,963 per night",null,Room in a Cottage,| 1 Bedroom | Sleeps 4 guests,Breakfastavailableatextracharges,,44.4264,8.91519,
154,"ZIVA SUITES, a Boutique Hotel",Goa,Siolim,| 840 m drive to Anjuna Beach,4.6,"['Swimming Pool', '| 1 Bedroom | Sleeps 4 guests']","₹5,336 per night",null,null,null,CoupleFriendlyBreakfastIncluded10%offonsessionofSpa,,44.4264,8.91519,
155,Magnum Resorts- Near Candolim Beach,Goa,Candolim,| 1.4 km drive to Calangute Beach,3.9,"['Reception', 'Housekeeping']","₹2,292 per night",null,null,null,CoupleFriendlyBreakfastavailableatextracharges10%OffonF&Bservices,,,,
156,White Woods Resort & Spa,Goa,Morjim,null,4.3,"['Beds in a Hostel', '| 2 Dorm Beds']","₹4,717 per night",null,null,null,CoupleFriendlyBreakfastIncludedGuaranteed15%DiscountonF&Bservices,,,,
157,Spazio Leisure Resort,Goa,Anjuna,| About a minute walk to Sernabatim Beach,3.7,"['Lounge', 'Restaurant']","₹3,741 per night",null,null,null,CoupleFriendlyFreeCancellationBreakfastIncludedBook@₹0available,,15.5876787,73.7419102,
158,The Byke Royal Pearl Anjuna,Goa,Vagator,null,4,"['Room in an Apartment', '| 1 Bedroom | Sleeps 3 guests']","₹2,854 per night",null,null,null,CoupleFriendlyFreeCancellationBook@₹0availableBreakfastavailableatextracharges,,15.58005,73.74487,
159,"Holiday Inn Goa, Candolim",Goa,Candolim,| 7 minutes walk to Candolim Beach,4.2,"['Reception', 'Housekeeping']","₹11,450 per night",null,null,null,"CoupleFriendlyBreakfastavailableatextracharges15%discountonselectspatherapies,food&beverages",,15.5034793,73.771951,
160,Dew Drop| Rooms with Wi-Fi,Goa,Panjim,| 4 minutes walk to Morjim Beach,4,"['Spa', 'Swimming Pool']","₹2,389 per night",null,Room in a Villa,| 1 Bedroom | Sleeps 4 guests,,,44.4264,8.91519,
161,Crystal Goa | Rooms & Free Wi-Fi,Goa,Palolem,| 8 minutes walk to Anjuna Beach,4,"['Room in a Cottage', '| 1 Bedroom | Sleeps 4 guests']","₹2,972 per night",null,Room in a Cottage,| 1 Bedroom | Sleeps 4 guests,"CoupleFriendlyGoanhomewitharestaurant,caretaker&balconysit-out",,,,
162,TreeHouse MARS Beach Cottages,Goa,Calangute,| 2.1 km drive to Vagator Beach,4.2,"['Housekeeping', 'Seating Area']","₹5,432 per night",null,null,null,CoupleFriendlyFreeCancellationBook@₹0availableBreakfastavailableatextrachargesWoodenCottageswithmodernfacilities&commonswimmingpool.,,44.4264,8.91519,
163,Riva Gold Coast,Goa,Candolim,| 4-5 minutes walk from Sinquerium Beach,3.9,"['Swimming Pool', 'Water Sports']","₹5,829 per night",null,null,null,CoupleFriendlyFreeCancellationBreakfastIncludedBook@₹0available,,6.75,-2.43333,
164,Nazri Resort & Lawns Baga,Goa,Baga,| About a minute walk to Caranzalem Beach,3.9,"['Swimming Pool', 'Water Sports']","₹3,960 per night",null,null,null,CoupleFriendlyBreakfastIncluded10%offonsessionofSpa,,15.558177,73.75598,
165,TROPICAL WAVE HOSTEL,Goa,Morjim,| 2 minutes walk to Palolem Beach,4.8,"['Room in a Cottage', '| 1 Bedroom | Sleeps 3 guests']","₹2,244 per night",null,Bed in a Hostel,| 2 Dorm Beds,CoupleFriendly,,15.6227063,73.7361939,
166,Royal Heritage Resort,Goa,Calangute,| 5 minutes walk to Calangute Beach,3.7,"['Caretaker', 'Housekeeping']","₹1,920 per night",Like a 3 Star,Room in an Apartment,| 1 Bedroom | Sleeps 4 guests,CoupleFriendlyBreakfastavailableatextracharges,,15.5411907,73.7645309,
167,Mansao Curtorim: A CGH Earth SAHA Experience,Goa,South Goa,| 5 minutes walk to Candolim Beach,4.1,"['Swimming Pool', 'Restaurant']","₹11,274 per night",Like a 4 Star,Room in a Villa,| 1 Bedroom | Sleeps 4 guests,"CoupleFriendlyBreakfastIncludedApartmentwithalibrary,dininghall,loungearea&Wi-Fi",,44.4264,8.91519,
168,3102bce - A Vedic Resort,Goa,Vagator,| 6 minutes walk to Baga Beach,4.4,"['Room in a Cottage', '| 1 Bedroom | Sleeps 4 guests']","₹7,636 per night",null,null,null,"CoupleFriendlyBreakfastIncludedEnjoyHappyHourswith2+1offeronAlcoholicDrinks,SoftBeverages",,44.4264,8.91519,
169,So My Resorts (SoMy Resorts),Goa,Calangute Baga Road,| 7 minutes walk to Morjim Beach,4.2,"['Shared Swimming Pool', 'Caretaker']","₹5,316 per night",null,null,null,CoupleFriendlyFreeCancellationBreakfastIncludedBook@₹0available,,44.4264,8.91519,
170,"Taj Exotica Resort & Spa, Goa",Goa,Benaulim,| 4-5 minutes walk from Calangute Beach,4.7,"['Spa', 'Swimming Pool']","₹37,125 per night",null,null,null,CoupleFriendlyBreakfastIncludedGetaTajGiftCardworthatleastINR500forF&B&Spa,,4.102699,73.5255252,
171,Golden Tulip Goa Candolim,Goa,Candolim,null,4.1,"['Gym', 'Swimming Pool']","₹7,423 per night",null,null,null,CoupleFriendlyBreakfastIncluded,,15.51807,73.76259,
172,Ticlo Resorts,Goa,Calangute Baga Road,| 1.7 km drive to Vagator Beach,3.9,"['Water Sports', 'Indoor Games']","₹3,248 per night",null,null,null,CoupleFriendlyFreeCancellationBreakfastavailableatextracharges,,44.4264,8.91519,
173,Boshan Hotels,Goa,Mapusa,| 10 minutes walk to Calangute Beach,4,"['Room in a Homestay', '| 1 Bedroom | Sleeps 4 guests']","₹3,095 per night",null,null,null,CoupleFriendlyBreakfastavailableatextracharges,,44.4264,8.91519,
174,Agonda Paradise Beach Huts,Goa,Agonda,| 2 minutes walk to Benaulim Beach,4.3,"['Swimming Pool', 'Pool/ Beach towels']","₹4,537 per night",Like a 3 Star,Room in a Beach Hut,| 1 Bedroom | Sleeps 4 guests,CoupleFriendly,,44.4264,8.91519,
175,Hotel Gopika International,Goa,Panjim,| 1.3 km drive to Candolim Beach,4,"['Swimming Pool', 'Restaurant']","₹3,016 per night",null,null,null,CoupleFriendlyFreeCancellationBreakfastIncludedBook@₹0availablePayAtHotel,,15.485748,73.81235,
176,Calux Joia Do Mar Resort,Goa,Calangute,| 8 minutes walk to Calangute Beach,4,"['Room in a Homestay', '| 1 Bedroom | Sleeps 3 guests']","₹3,864 per night",null,null,null,CoupleFriendlyBreakfastavailableatextracharges,,44.4264,8.91519,
177,Monkey Mind Hostel | Dorms & Wi-Fi,Goa,Margao,| 7 minutes walk to Mapusa Bus Stand,4.2,"['Pool/ Beach towels', 'Caretaker']","₹1,264 per night",Like a 3 Star,Beds in a Hostel,| 2 Dorm Beds,"Spacioushostelofferingakitchenette,caretakerandlivingroom",,,,
178,Falcon Resorts by Dia Hotels,Goa,Calangute Baga Road,| 4 minutes walk to Agonda Beach,3.6,"['Room in an Apartment', '| 1 Bedroom | Sleeps 4 guests']","₹2,150 per night",null,null,null,CoupleFriendlyBreakfastavailableatextracharges,,44.4264,8.91519,
179,Sundaze Guesthouse | Rooms & Caretaker,Goa,Panjim,| 6 minutes walk to Miramar Beach,3.3,"['Reception', 'Housekeeping']","₹1,701 per night",null,Room in a Homestay,| 1 Bedroom | Sleeps 4 guests,,,,,
180,Vila Do Flor Goa,Goa,Assagao,| 1.2 km drive to Calangute Beach,3.9,"['Jacuzzi', 'Swimming Pool']","₹2,024 per night",null,Room in an Apartment,| 1 Bedroom | Sleeps 4 guests,CoupleFriendlyBreakfastavailableatextrachargesGuaranteed15%Discountonalacarte,,15.40927,73.78869,
181,Rahi Coral Beach Resort,Goa,Calangute Baga Road,null,3.1,"['Swimming Pool', 'Restaurant']","₹2,260 per night",null,null,null,CoupleFriendlyFreeCancellationBreakfastIncludedBook@₹0available,,44.4264,8.91519,
182,Veeraas Calangute 2BHK - Premium Apartment with Pool,Goa,Calangute,| 9 minutes walk to Calangute Beach,4.7,"['24-hour Room Service', 'Swimming Pool']","₹7,062 per night",Like a 4 Star,Entire Apartment,| 2 Bedrooms | Sleeps 8 guests,"CoupleFriendlyApartmentwithapool,kitchen,livingroom&lawnsit-outs",,44.4264,8.91519,
183,The Westin Goa,Goa,Anjuna,null,4.5,"['24-hour Room Service', 'Beds in a Hostel']","₹17,875 per night",null,null,null,"CoupleFriendlyFreeCancellationBreakfastIncludedEnjoycomplimentarybeeronarrival,beachtransfers&dailykidsactivities!",,15.5891326,73.7435536,
184,Whispering Palms Beach Resort,Goa,Candolim,null,3.9,"['| 2 Dorm Beds', 'Kitchenette']","₹8,421 per night",null,null,null,CoupleFriendlyBreakfastIncluded10%offonsessionofSpa,,15.5102071,73.7679661,
185,O9,Goa,Mapusa,| 7 minutes walk to Calangute Beach,3.9,"['Living Room', 'Swimming Pool']","₹1,614 per night",null,null,null,CoupleFriendlyFreeCancellationBook@₹0availableBreakfastavailableatextracharges,,13.6973443,123.4885073,
186,GT Boutique Resort Anjuna,Goa,Anjuna,Ends  in  18h:  04m:  06s,2.9,"['Vehicle Rentals', 'Gym']","₹2,306 per night",null,null,null,CoupleFriendlyFreeCancellationBook@₹0availableBreakfastavailableatextracharges,,15.58005,73.74487,
187,SPACELAND Mandrem,Goa,Mandrem Beach,| 1.4 km drive to Candolim Beach,4.5,"['Swimming Pool', 'Water Sports']",₹794 per night,null,Beds in a Hostel,| 2 Dorm Beds,CoupleFriendlyHostelfeaturingarooftopbarandcafe&indoorgames,,15.6640712,73.7138551,
188,JP Resort,Goa,Arambol,| 4-5 minutes walk from Anjuna Beach,3.9,"['Beach club', 'Swimming Pool']","₹4,124 per night",null,null,null,CoupleFriendlyFreeCancellationBook@₹0availableBreakfastavailableatextracharges,,44.4264,8.91519,
189,All Seasons Homestay,Goa,Bogmalo,| 7 minutes walk to Candolim Beach,4.4,"['Restaurant', 'Beds in a Hostel']","₹1,543 per night",null,Room in a Homestay,| 1 Bedroom | Sleeps 4 guests,"Homestayfeaturingacaretaker,balcony,parking&sit-outs",,44.4264,8.91519,
190,Woke Morjim Hostel | Rooms & Dorms,Goa,Morjim,| 3 minutes walk to Mapusa Bus Stand,4.2,"['| 2 Dorm Beds', 'Lounge']","₹1,307 per night",null,Beds in a Hostel,| 2 Dorm Beds,CoupleFriendly,,,,
191,Radisson Blu Resort Goa,Goa,Cavelossim,| 4-5 minutes walk from Anjuna Beach,4.5,"['Caretaker', 'Restaurant']","₹16,997 per night",null,null,null,"CoupleFriendlyBreakfastIncludedEnjoy10%offonspa,food&drinks,onceduringthestay",,15.40927,73.78869,
192,Margaritas Residency.,Goa,Benaulim,| 2 minutes walk to Mandrem Beach,4.2,"['Beds in a Hostel', '| 2 Dorm Beds']","₹2,037 per night",null,Room in an Apartment,| 1 Bedroom | Sleeps 3 guests,CoupleFriendly,,44.4264,8.91519,
193,Hotel Traveller's Inn,Goa,Panjim,| 10 minutes walk to Mandrem Beach,4,"['Kitchenette', 'Lounge']","₹2,529 per night",null,null,null,FreeCancellationBook@₹0available,,44.4264,8.91519,
194,Amara Oceanfront Resort & Club Baga,Goa,Baga,| 5 minutes walk to Bogmalo Beach,3.3,"['Jacuzzi', 'Restaurant']","₹5,568 per night",null,null,null,"CoupleFriendlyBreakfastavailableatextrachargesBeachclub,cabanas&sea-viewroomssetinalivelyambience",,,,
195,Marcello Villa | Rooms & Caretaker,Goa,Baga,| 8 minutes walk to Morjim Beach,3,"['24-hour Room Service', 'Room in a Cottage']","₹1,073 per night",null,Room in a Villa,| 1 Bedroom | Sleeps 12 guests,,,,,
196,Wild Berry Resort,Goa,South Goa,| 5 minutes walk to Cavelossim Beach,3.9,"['| 1 Bedroom | Sleeps 4 guests', 'Free Wi-Fi']","₹5,534 per night",Like a 3 Star,Room in a Cottage,| 1 Bedroom | Sleeps 4 guests,CoupleFriendlyBreakfastIncludedCottagewithanoutdoorpool&tropicalgarden,,44.4264,8.91519,
197,Grande Ave Maria Resort,Goa,Candolim,| 2.3 km drive to Benaulim Beach,3.7,"['Shared Kitchen', 'Spa']","₹3,188 per night",null,null,null,CoupleFriendlyBreakfastavailableatextracharges,,44.4264,8.91519,
198,The Tamarind Hotel,Goa,Anjuna,null,4,"['Swimming Pool', 'Restaurant']","₹4,236 per night",null,null,null,CoupleFriendlyBreakfastIncludedEnjoyacomplementarybeerasawelcomedrink,,44.4264,8.91519,
199,Lambana Resort,Goa,Calangute Baga Road,| About a minute walk to Baga Beach,4,"['Swimming Pool', 'Spa']","₹3,160 per night",null,null,null,CoupleFriendlyFreeCancellationBreakfastIncludedBook@₹0available,,44.4264,8.91519,
200,Hyatt Centric Candolim Goa,Goa,Calangute,| 1.5 km drive to Baga Beach,4.4,"['Swimming Pool', 'Restaurant']","₹14,127 per night",null,null,null,CoupleFriendlyFreeCancellationBreakfastIncludedBook@₹0available,,15.5288486,73.7650838,
201,Little India Beach Cottages | Rooms & Wi-Fi,Goa,Calangute,| 2.4 km drive to Agonda Beach,4,"['Swimming Pool', 'Spa']","₹6,488 per night",Like a 3 Star,Room in a Cottage,| 1 Bedroom | Sleeps 4 guests,CoupleFriendly,,,,
202,Villa Ikebana | Rooms & Pool,Goa,Vagator,| 3 minutes walk to Candolim Beach,4.1,"['Spa', 'Swimming Pool']","₹2,621 per night",Like a 3 Star,Room in a Villa,| 1 Bedroom | Sleeps 4 guests,,,,,
203,"Riritana Resort Residences, Dabolim",Goa,Mormugao,null,3.5,"['Room in a Villa', '| 1 Bedroom | Sleeps 4 guests']","₹2,546 per night",null,Room in an Apartment,| 1 Bedroom | Sleeps 4 guests,CoupleFriendly,,15.39911,73.8559,
204,Sharanam Greens Resort,Goa,Calangute,| 7 minutes walk to Calangute Beach,3.8,"['Caretaker', 'Housekeeping']","₹2,996 per night",null,null,null,CoupleFriendlyBreakfastavailableatextracharges10%DiscountonAirportTransfer,,44.4264,8.91519,
205,Dom Carlos Apartments,Goa,Arpora,| 9 minutes walk to Candolim Beach,4.2,"['Room in a Cottage', '| 1 Bedroom | Sleeps 4 guests']","₹1,900 per night",null,Entire Apartment,| 1 Bedroom | Sleeps 4 guests,CoupleFriendly,,44.4264,8.91519,
206,Henry's Place.,Goa,Calangute,| 1-2 minutes walk from Calangute Beach,4.5,"['Caretaker', 'Restaurant']","₹1,543 per night",null,null,null,CoupleFriendly,,44.4264,8.91519,
207,"Lazy Lagoon, A Lemon Tree Resort, Goa, Baga",Goa,Baga,null,3.8,"['Swimming Pool', 'Restaurant']","₹8,119 per night",null,null,null,"CoupleFriendlyBreakfastavailableatextrachargesEnjoy2FreePintsofBeerperStay,OnUs!",,15.56517,73.75517,
208,Samara Holiday Homes Calangute,Goa,Calangute,| 5.0 km drive to Goa International Airport,null,"['Swimming Pool', 'Restaurant']","₹1,477 per night",null,Room in an Apartment,| 1 Bedroom | Sleeps 4 guests,CoupleFriendlyBreakfastavailableatextracharges,,15.5439,73.7553,
