id,name,place,location,landmark,ratings,info,price,tag,accessibility,occupancy,description,reviews,lat,lng,tax
27,BloomSuites | Calangute,Goa,Calangute,| 3 minutes walk to Morjim Beach,4.1,"['Swimming Pool', 'Swimming Pool']","₹6,900 per night",null,null,null,CoupleFriendlyBreakfastavailableatextracharges,,15.5439,73.7553,
28,Ivy Retreat Apartments,Goa,Baga,| 4-5 minutes walk from Calangute Beach,4,"['Jacuzzi', 'Swimming Pool']","₹2,843 per night",null,Entire Apartment,| 1 Bedroom | Sleeps 4 guests,CoupleFriendly,,44.4264,8.91519,
29,DoubleTree by Hilton Hotel Goa-Arpora- Baga,Goa,Arpora,| 4-5 minutes walk from Calangute Beach,4.1,"['Gym', 'Swimming Pool']","₹9,342 per night",null,null,null,CoupleFriendlyBreakfastIncludedBooknow&get20%offatFlamerestaurant,,15.5754196,73.7622311,
30,Novotel Goa Candolim,Goa,Candolim,null,4.2,"['Swimming Pool', 'Gym']","₹12,449 per night",null,null,null,CoupleFriendlyFreeCancellationBreakfastIncludedBook@₹0available,,15.5264943,73.7658886,
31,"The Hosteller Goa, Old Goa",Goa,Panjim,| 4 minutes walk to Candolim Beach,4.7,"['Entire Apartment', '| 1 Bedroom | Sleeps 4 guests']","₹1,484 per night",null,Beds in a Hostel,| 2 Dorm Beds,CoupleFriendly,,15.40927,73.78869,
32,"Stone Wood Resort, Mandrem",Goa,North Goa,| 2.2 km drive to Basilica Of Bom Jesus,4.6,"['Housekeeping', 'Caretaker']","₹6,092 per night",null,null,null,CoupleFriendlyBreakfastIncluded20%offonsessionofSpa,,15.65337,73.72272,
33,Baga Beach Hotel,Goa,Baga,| 8 minutes walk to Ashwem Beach,3.5,"['Gym', 'Jacuzzi']","₹1,411 per night",null,null,null,CoupleFriendly,,44.4264,8.91519,
34,XOXO Hostel,Goa,Anjuna,| 5 minutes walk to Baga Beach,3.9,"['Spa', 'Beds in a Hostel']","₹1,454 per night",null,Beds in a Hostel,| 2 Dorm Beds,CoupleFriendly,,44.4264,8.91519,
35,Lillywoods Zac Beach Resort,Goa,Calangute,| 2.7 km drive to Anjuna Beach,3.1,"['| 2 Dorm Beds', 'Swimming Pool']","₹4,888 per night",null,null,null,CoupleFriendlyFreeCancellationBook@₹0availableBreakfastavailableatextracharges,,44.4264,8.91519,
36,Beleza By The Beach,Goa,Colva Beach,| About a minute walk to Calangute Beach,4.6,"['Indoor Games', 'Swimming Pool']","₹10,359 per night",null,null,null,CoupleFriendlyBreakfastIncluded,,44.4264,8.91519,
37,Bedrock Boutique Hostel,Goa,Baga,| About a minute walk to Colva Beach,3.7,"['Restaurant', 'Spa']","₹1,131 per night",null,Beds in a Hostel,| 2 Dorm Beds,,,44.4264,8.91519,
38,"Taj Cidade de Goa Horizon, Goa",Goa,Panjim,| 4-5 minutes walk from Calangute Beach,4.8,"['Kids Play Area', 'Beds in a Hostel']","₹26,250 per night",null,null,null,BreakfastIncludedGetaTajGiftCardworthatleastINR500forF&B&Spa,,15.45754,73.8120955,
39,SinQ Beach Resort,Goa,Calangute,| 4-5 minutes walk from Miramar Beach,4,"['| 2 Dorm Beds', 'Swimming Pool']","₹2,925 per night",null,null,null,CoupleFriendlyFreeCancellationBreakfastavailableatextracharges,,15.5367716,73.7627736,
40,Reina's Elegance,Goa,Candolim,| 6 minutes walk to Calangute Beach,3.2,"['Caretaker', 'Restaurant']","₹1,929 per night",null,Room in an Apartment,| 1 Bedroom | Sleeps 3 guests,,,44.4264,8.91519,
41,Hotel Campal,Goa,Panjim,| 8 minutes walk to Candolim Beach,3.9,"['Bar', 'Gym']","₹2,688 per night",null,null,null,"CoupleFriendlyFreeCancellationBook@₹0availableBreakfastavailableatextracharges10%offonInRoomFoodServicesfromSoulCurryRestaurant,Panjim",,44.4264,8.91519,
42,"Ginger Goa, Madgaon",Goa,Margao,| 1.6 km drive to Deltin Royale,4.2,"['Swimming Pool', 'Beds in a Hostel']","₹3,824 per night",null,null,null,FreeCancellationBook@₹0availableBreakfastavailableatextracharges,,15.27501,73.95786,
43,SinQ The Party Hotel (No Stags Allowed),Goa,Candolim,null,4.2,"['| 2 Dorm Beds', 'Living Room']","₹3,268 per night",null,null,null,CoupleFriendlyFreeCancellationBreakfastavailableatextrachargesBookPartyCottageandPoolViewRoomGetFreeEntryinSinQNightClubonceduringthestayperperson,,44.4264,8.91519,
44,Zostel Goa (Morjim),Goa,Morjim,| 10 minutes walk to Sinquerium Beach,3.9,"['Barbeque', 'Spa']","₹2,785 per night",Like a 3 Star,Beds in a Hostel,| 2 Dorm Beds,"Hostelwithapool,gamesroom,restaurant&sharedlounge",,15.40927,73.78869,
45,"Ginger Goa, Panjim",Goa,Panjim,| 4-5 minutes walk from Morjim Beach,4.1,"['Swimming Pool', 'Swimming Pool']","₹7,244 per night",null,null,null,CoupleFriendlyBreakfastavailableatextracharges,,15.4578021,73.8109218,
46,Hotel Celi,Goa,Calangute,| 1.8 km drive to Deltin Royale,4.2,"['Jacuzzi', 'Room in an Apartment']","₹2,194 per night",null,null,null,CoupleFriendlyFreeCancellation,,44.4264,8.91519,
47,Moustache Goa Luxuria | Private Rooms & Dorms,Goa,Vagator,| 3 minutes walk to Calangute Beach,3.9,"['| 1 Bedroom | Sleeps 3 guests', 'Housekeeping']","₹2,419 per night",null,Beds in a Hostel,| 2 Dorm Beds,,,,,
48,Lillywoods Highland Beach Resort,Goa,Candolim,| 2.5 km drive to Vagator Beach,3,"['Free Public Parking', 'Restaurant']","₹4,687 per night",null,null,null,"CoupleFriendlyFreeCancellationBook@₹0availableBreakfastavailableatextracharges10%DiscountOnAirportTransfer,SubjecttoAvailability",,44.4264,8.91519,
